,incorrect_image_paths,correct_image_paths,correct_identified_image_indicies,incorrect_image_indicies
405,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008136_se_17_060_20191119_000443.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007423_sw_18_060_20190917_000461.jpg,636,62
406,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008136_se_17_060_20191119_000441.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007423_sw_18_060_20190917_000459.jpg,635,61
407,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_ne_11_060_20180723_000376.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007424_nw_18_060_20190830_000376.jpg,1101,80
408,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_ne_11_060_20180723_000301.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007424_nw_18_060_20190830_000301.jpg,1092,74
409,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008136_se_17_060_20191119_000440.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007423_sw_18_060_20190917_000458.jpg,634,60
410,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_ne_11_060_20180723_000401.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007424_nw_18_060_20190830_000401.jpg,1104,82
411,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008136_se_17_060_20191119_000114.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007423_sw_18_060_20190917_000118.jpg,624,50
412,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008136_se_17_060_20191119_000416.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007423_sw_18_060_20190917_000433.jpg,628,54
413,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_ne_11_060_20180723_000252.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007424_nw_18_060_20190830_000252.jpg,1089,73
414,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008136_se_17_060_20191119_000398.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007423_sw_18_060_20190917_000414.jpg,626,52
415,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008136_se_17_060_20191119_000439.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007423_sw_18_060_20190917_000457.jpg,633,59
416,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_ne_11_060_20180723_000327.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007424_nw_18_060_20190830_000327.jpg,1096,77
417,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_ne_11_060_20180723_000402.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007424_nw_18_060_20190830_000402.jpg,1105,83
418,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_ne_11_060_20180723_000133.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jaewon/student_reviewed_images3/chips_positive\nj_60cm_2019_40074_m_4007424_nw_18_060_20190830_000133.jpg,1087,71
419,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000146.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000146.jpg,588,478
420,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000172.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000172.jpg,593,629
421,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000243.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000243.jpg,601,558
422,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000197.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000197.jpg,596,140
423,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000148.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000148.jpg,590,94
424,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000122.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000122.jpg,586,49
425,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000149.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000149.jpg,591,282
426,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000195.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000195.jpg,594,78
427,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000123.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000123.jpg,587,570
428,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000242.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000242.jpg,600,638
429,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000220.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000220.jpg,599,573
430,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000147.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000147.jpg,589,246
431,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000218.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000218.jpg,597,110
432,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000196.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000196.jpg,595,495
433,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000219.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000219.jpg,598,274
434,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000171.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jamila/unverified_images_not_reviewed_by_student2_Jamila/chips_positive\ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_000171.jpg,592,385
435,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000484.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000484.jpg,829,108
436,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000461.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000461.jpg,828,107
437,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000231.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000231.jpg,814,90
438,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000361.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000361.jpg,819,95
439,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000436.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000436.jpg,824,103
440,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000232.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000232.jpg,815,91
441,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000386.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000386.jpg,821,98
442,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000412.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000412.jpg,823,102
443,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000257.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000257.jpg,817,93
444,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000362.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000362.jpg,820,96
445,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000411.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000411.jpg,822,101
446,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000511.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000511.jpg,832,112
447,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000459.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000459.jpg,826,105
448,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000510.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000510.jpg,831,111
449,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_se_15_060_20190726_000437.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Josh/student_reviewed_images1/chips_positive\sc_60cm_2019_32079_m_3207901_sw_17_060_20190701_000437.jpg,825,104
450,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909006_nw_15_060_20190707_000516.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909038_ne_15_060_20190707_000516.jpg,459,35
451,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909006_nw_15_060_20190707_000515.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909038_ne_15_060_20190707_000515.jpg,458,3
452,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909006_nw_15_060_20190707_000541.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909038_ne_15_060_20190707_000541.jpg,461,57
453,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909006_nw_15_060_20190707_000540.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909038_ne_15_060_20190707_000540.jpg,460,40
454,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009060_sw_15_060_20190831_000127.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812236_nw_10_060_20191010_000127.jpg,795,74
455,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ma_60cm_2018_42071_m_4207140_se_19_060_20181016_000347.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812211_nw_10_060_20191010_000347.jpg,1346,58
456,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009060_sw_15_060_20190831_000112.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812236_nw_10_060_20191010_000112.jpg,792,141
457,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009060_sw_15_060_20190831_000303.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812236_nw_10_060_20191010_000303.jpg,813,200
458,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009060_sw_15_060_20190831_000208.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812236_nw_10_060_20191010_000208.jpg,804,63
459,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009060_sw_15_060_20190831_000159.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812236_nw_10_060_20191010_000159.jpg,799,310
460,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ma_60cm_2018_42071_m_4207140_se_19_060_20181016_000252.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812211_nw_10_060_20191010_000252.jpg,1339,280
461,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ma_60cm_2018_42071_m_4207140_se_19_060_20181016_000274.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812211_nw_10_060_20191010_000274.jpg,1340,38
462,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ma_60cm_2018_42071_m_4207140_se_19_060_20181016_000374.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812211_nw_10_060_20191010_000374.jpg,1348,270
463,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ma_60cm_2018_42071_m_4207140_se_19_060_20181016_000073.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812211_nw_10_060_20191010_000073.jpg,1337,248
464,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009060_sw_15_060_20190831_000160.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812236_nw_10_060_20191010_000160.jpg,800,109
465,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ma_60cm_2018_42071_m_4207140_se_19_060_20181016_000371.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812211_nw_10_060_20191010_000371.jpg,1347,321
466,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009060_sw_15_060_20190831_000184.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Sunny/student_reviewed_images1/chips_positive\wa_60cm_2019_48122_m_4812236_nw_10_060_20191010_000184.jpg,802,299
